filename: male.csv

sum : 43.841600

-	68.8	55.6	74.0	81.8	48.0	73.8	65.8	60.8	42.6	66.0	53.2	40.0	55.8	42.4	55.6	23.6	68.8	92.0	37.2	79.0	73.8	71.0	47.6	50.4	68.8	0.0	63.6	42.4	60.8	63.6	60.8	55.6	60.8	63.6	55.6	61.0	45.2	23.6	50.4	10.4	53.2	79.0	63.6	55.6	58.4	66.0	23.6	66.0	58.4	55.8	55.8	74.0	81.8	60.8	73.8	63.6	23.6	84.0	68.8	23.6	23.6	60.8	73.8	42.6	100.0	53.2	60.8	87.0	50.4	47.6	92.0	42.4	63.6	52.8	55.6	47.6	73.8	55.6	79.0	52.8	65.8	45.0	84.0	47.0	40.0	60.8	58.0	87.0	58.4	37.2	45.2	32.0	68.8	42.4	47.8	73.8	60.8	79.0	42.0	81.8	37.2	73.8	37.2	73.8	79.0	73.8	37.2	87.0	81.8	58.0	58.0	45.2	18.4	50.4	55.8	73.8	15.6	60.8	52.8	92.0	58.0	23.6	42.4	41.8	32.0	84.0	65.8	73.8	68.8	73.8	84.0	0.0	49.8	92.0	10.4	66.0	28.8	36.8	39.0	87.0	76.6	47.6	55.6	55.6	68.8	58.0	42.4	87.0	100.0	18.4	63.6	55.6	39.0	68.8	87.0	15.6	52.8	28.8	52.8	60.8	34.6	18.4	60.0	79.0	84.0	81.8	79.0	32.0	63.6	55.6	55.6	60.0	52.8	42.6	87.0	79.0	68.8	73.8	100.0	47.6	63.6	34.0	45.2	68.6	63.6	81.8	73.8	45.2	63.6	53.2	50.4	32.0	60.8	65.8	65.8	32.0	63.6	45.2	68.8	73.8	50.4	31.6	32.0	55.6	23.6	42.0	68.8	55.6	47.8	21.0	53.0	65.8	74.0	79.0	50.4	41.8	68.8	92.0	73.8	55.6	47.6	60.8	50.4	28.8	60.8	53.2	65.8	52.8	63.6	45.2	45.2	47.0	41.8	87.0	81.8	58.4	87.0	50.4	68.6	26.4	55.6	53.2	47.8	73.8	45.2	65.8	42.4	79.0	45.0	
69.4	-	51.3	65.0	69.4	50.0	52.5	64.0	58.1	39.7	67.9	70.6	37.5	56.6	45.6	46.9	33.1	74.8	56.9	41.2	67.9	62.5	44.4	64.0	53.7	69.4	0.0	75.0	55.2	56.9	70.6	62.3	62.5	52.5	75.0	72.1	72.0	48.1	33.1	58.1	16.2	65.0	52.5	60.6	58.1	70.6	67.9	33.1	67.9	70.6	78.0	78.0	74.8	89.0	52.5	52.5	63.8	33.1	44.4	60.6	47.1	47.1	52.5	56.9	39.7	69.4	60.6	56.9	69.4	58.1	45.6	56.9	50.0	70.6	40.0	76.5	45.6	48.1	58.1	51.3	40.0	40.0	47.0	44.4	31.9	37.5	46.9	40.0	80.4	65.0	41.2	58.1	25.0	65.0	34.4	65.5	52.5	73.5	56.9	40.0	69.4	41.2	56.9	41.2	62.5	56.9	56.9	35.6	80.4	69.4	40.0	40.0	48.1	47.1	58.1	64.0	51.3	34.6	51.3	45.6	56.9	40.0	33.1	50.0	37.5	25.0	44.4	40.0	56.9	65.0	56.9	44.4	0.0	35.6	56.9	25.0	46.9	37.3	34.4	30.4	80.4	65.0	64.0	72.1	58.1	65.0	49.8	55.2	80.4	69.4	42.7	84.6	46.9	19.4	59.4	63.8	25.0	34.4	21.9	40.0	56.9	31.6	42.7	31.9	56.9	44.4	65.0	52.5	25.0	75.0	76.5	72.1	31.9	44.4	39.7	80.4	56.9	69.4	62.5	69.4	64.0	75.0	27.5	53.7	52.5	75.0	69.4	56.9	58.1	70.6	66.2	53.7	25.0	56.9	50.0	44.4	25.0	75.0	48.1	59.4	56.9	58.1	40.0	25.0	62.5	21.9	40.0	100.0	46.9	48.5	34.5	59.5	50.0	59.4	51.3	58.1	37.5	70.6	56.9	56.9	58.1	59.6	73.5	67.7	62.5	51.3	60.6	40.0	34.4	59.4	48.1	53.7	42.9	51.5	80.4	63.8	70.6	65.0	62.5	52.5	50.0	62.5	70.6	40.3	56.9	53.7	44.4	41.2	51.3	47.0	
61.2	54.0	-	61.2	64.0	48.0	70.0	53.2	61.2	56.4	70.0	53.2	56.0	48.4	53.2	76.4	6.0	90.0	69.2	53.2	70.0	61.2	61.2	56.0	44.4	64.0	8.0	56.0	52.4	72.0	53.2	78.0	64.0	70.0	56.0	60.4	50.0	60.4	20.4	62.0	12.4	53.2	69.2	60.4	60.4	53.2	70.0	22.0	70.0	53.2	52.0	52.0	70.0	53.2	68.4	68.4	92.0	22.0	61.2	60.4	22.0	22.0	68.4	72.0	56.4	61.2	52.4	72.0	61.2	61.2	54.0	53.2	56.0	54.0	62.0	64.0	54.0	68.4	62.0	77.2	62.0	60.4	50.0	61.2	29.2	56.0	78.0	61.2	62.0	54.0	53.2	61.2	48.0	60.4	60.4	60.0	68.4	62.0	69.2	21.2	64.0	52.4	72.0	53.2	61.2	53.2	72.0	52.4	62.0	64.0	61.2	61.2	61.2	21.2	61.2	52.0	97.2	14.0	80.0	53.2	69.2	61.2	22.0	56.0	21.2	48.0	61.2	62.0	72.0	60.4	72.0	61.2	8.0	20.4	53.2	16.0	77.2	58.0	28.4	22.0	62.0	61.2	56.0	62.0	62.0	62.0	70.0	53.2	62.0	61.2	21.2	54.0	60.4	21.2	89.2	69.2	16.0	68.4	36.4	60.4	72.0	49.2	5.2	29.2	53.2	61.2	60.4	53.2	48.0	56.0	64.0	62.0	29.2	64.0	40.4	62.0	69.2	64.0	61.2	61.2	56.0	56.0	13.2	44.4	69.2	56.0	64.0	72.0	45.2	54.0	52.4	60.4	48.0	72.0	53.2	64.0	48.0	56.0	44.4	68.4	72.0	61.2	21.2	48.0	64.0	56.4	21.2	54.0	96.4	44.0	18.0	58.0	53.2	69.2	77.2	61.2	21.2	53.2	69.2	72.0	60.4	54.0	62.0	61.2	22.0	80.0	53.2	62.0	68.4	88.4	61.2	60.4	30.0	21.2	62.0	89.2	53.2	61.2	64.0	53.2	16.0	64.0	53.2	96.0	56.0	61.2	64.0	52.4	77.2	50.0	
75.0	65.0	51.0	-	70.6	50.0	52.2	41.4	72.0	38.2	70.6	60.6	36.0	61.0	38.2	49.8	30.2	65.0	61.0	32.6	56.6	61.0	61.0	37.0	56.6	84.6	0.0	70.6	32.6	70.6	80.4	45.4	56.6	66.2	70.6	55.4	56.6	41.0	39.0	46.6	16.2	55.0	72.0	80.2	61.0	66.2	70.6	30.2	70.6	66.2	58.4	58.4	65.0	69.4	75.0	61.0	65.0	30.2	47.0	84.6	24.6	24.6	75.0	56.6	38.2	75.0	55.0	70.6	89.0	52.2	38.2	61.0	37.0	66.2	52.2	51.0	38.2	56.6	52.2	55.4	52.2	47.0	28.6	47.0	53.0	36.0	46.6	72.0	70.6	55.0	32.6	46.6	22.0	89.0	35.8	44.4	61.0	56.6	75.0	78.0	70.6	32.6	56.6	32.6	61.0	75.0	56.6	27.0	70.6	70.6	72.0	72.0	41.0	24.6	52.2	64.0	55.4	10.6	51.0	58.0	61.0	72.0	30.2	37.0	39.0	22.0	47.0	38.2	56.6	89.0	56.6	47.0	0.0	48.6	61.0	15.0	66.4	29.0	47.4	20.6	70.6	66.2	37.0	46.6	52.2	80.2	37.0	32.6	70.6	75.0	24.6	60.6	49.8	39.0	80.4	69.4	20.6	41.4	33.4	61.0	70.6	24.2	24.6	39.0	75.0	47.0	75.0	72.0	22.0	70.6	51.0	46.6	39.0	56.6	38.2	70.6	75.0	84.6	61.0	75.0	37.0	70.6	64.0	46.6	52.2	70.6	70.6	56.6	46.6	66.2	60.6	52.2	22.0	70.6	47.0	42.6	22.0	70.6	41.0	69.4	56.6	52.2	58.2	22.0	56.6	33.4	78.0	65.0	55.4	42.6	20.6	42.6	47.0	80.4	55.4	52.2	39.0	86.0	61.0	56.6	61.0	32.6	56.6	46.6	29.0	51.0	55.0	38.2	41.4	69.4	41.0	46.6	34.6	33.4	70.6	69.4	66.2	86.0	51.0	52.2	43.0	56.6	60.6	44.4	56.6	46.6	42.6	37.0	55.4	28.6	
95.1	77.6	64.6	81.6	-	66.0	80.0	43.2	59.7	50.2	66.5	70.8	49.5	66.7	43.2	58.3	28.1	77.6	78.6	37.8	80.0	59.7	48.6	48.1	58.3	86.5	0.0	81.1	41.8	70.0	70.8	61.1	64.6	66.5	81.1	58.3	69.5	52.9	25.3	55.7	8.8	70.8	78.6	80.2	58.3	76.2	66.5	28.1	66.5	76.2	74.1	74.1	83.0	76.2	63.7	77.2	81.1	28.1	62.1	80.2	28.1	28.1	63.7	83.5	50.2	95.1	69.4	70.0	81.6	59.7	44.6	78.6	42.7	77.6	50.0	64.6	44.6	77.2	61.1	65.1	50.0	60.7	36.5	62.1	32.1	49.5	66.5	48.6	96.5	72.2	37.8	54.3	33.0	80.2	36.4	57.6	77.2	61.1	65.1	48.6	100.0	36.4	83.5	37.8	59.7	65.1	83.5	36.4	96.5	100.0	48.6	48.6	54.3	26.7	59.7	74.1	59.7	11.6	70.0	43.2	78.6	48.6	28.1	42.7	26.7	33.0	62.1	63.5	83.5	80.2	83.5	62.1	0.0	60.7	78.6	9.7	65.1	28.1	47.2	30.5	96.5	95.1	48.1	61.1	61.1	83.0	50.0	43.2	96.5	95.1	26.7	77.6	58.3	15.6	76.2	81.6	15.1	47.2	30.7	47.2	70.0	35.1	26.7	45.6	65.1	62.1	93.7	78.6	33.0	81.1	64.6	61.1	45.6	53.5	50.2	96.5	65.1	86.5	59.7	95.1	48.1	81.1	32.1	52.9	78.6	81.1	100.0	83.5	54.3	77.6	69.4	58.3	33.0	70.0	43.2	67.0	33.0	81.1	52.9	80.2	83.5	59.7	48.6	33.0	64.6	25.3	48.6	77.6	58.3	56.5	20.0	53.0	43.2	81.6	65.1	59.7	26.7	76.2	78.6	83.5	58.3	44.6	61.1	59.7	28.1	70.0	70.8	63.5	47.2	74.8	54.3	52.9	47.0	26.7	96.5	76.2	76.2	95.1	59.2	78.6	42.7	64.6	70.8	57.6	83.5	54.3	67.0	36.4	65.1	36.5	
68.6	68.6	54.1	68.6	68.6	-	54.1	39.6	54.1	55.5	54.1	68.6	61.3	70.0	39.6	54.1	18.1	68.6	54.1	39.6	54.1	54.1	39.6	39.6	54.1	68.6	10.8	68.6	39.6	54.1	68.6	54.1	54.1	54.1	68.6	54.1	70.0	54.1	18.1	54.1	3.6	68.6	54.1	68.6	54.1	68.6	54.1	18.1	54.1	68.6	74.4	74.4	68.6	68.6	54.1	54.1	68.6	18.1	39.6	68.6	18.1	18.1	54.1	54.1	55.5	68.6	68.6	54.1	68.6	54.1	39.6	54.1	39.6	68.6	39.6	54.1	39.6	54.1	54.1	54.1	39.6	39.6	41.0	39.6	18.1	61.3	54.1	39.6	68.6	68.6	39.6	54.1	46.8	68.6	39.6	59.9	54.1	54.1	54.1	32.6	68.6	39.6	54.1	39.6	54.1	54.1	54.1	39.6	68.6	68.6	39.6	39.6	54.1	18.1	54.1	74.4	54.1	3.6	54.1	39.6	54.1	39.6	18.1	39.6	18.1	46.8	39.6	39.6	54.1	68.6	54.1	39.6	10.8	32.6	54.1	3.6	54.1	18.1	32.6	3.6	68.6	68.6	39.6	54.1	54.1	68.6	39.6	39.6	68.6	68.6	18.1	68.6	54.1	3.6	68.6	68.6	3.6	39.6	18.1	39.6	54.1	41.0	18.1	18.1	54.1	39.6	68.6	54.1	46.8	68.6	54.1	54.1	18.1	39.6	55.5	68.6	54.1	68.6	54.1	68.6	39.6	68.6	18.1	54.1	54.1	68.6	68.6	54.1	54.1	68.6	68.6	54.1	46.8	54.1	39.6	39.6	46.8	68.6	54.1	68.6	54.1	54.1	32.6	46.8	54.1	18.1	32.6	68.6	54.1	55.5	19.5	55.5	39.6	68.6	54.1	54.1	18.1	68.6	54.1	54.1	54.1	39.6	54.1	54.1	18.1	54.1	68.6	39.6	39.6	68.6	54.1	54.1	18.1	18.1	68.6	68.6	68.6	68.6	54.1	54.1	32.6	54.1	68.6	59.9	54.1	54.1	39.6	39.6	54.1	41.0	
64.9	43.2	58.3	41.8	72.5	22.5	-	43.2	43.1	41.4	56.9	44.6	30.0	26.3	50.8	43.1	62.3	43.2	72.4	37.0	72.4	50.7	49.4	50.8	28.1	57.0	22.5	50.8	43.2	64.5	29.4	50.7	58.3	83.5	50.8	43.1	33.9	36.9	43.1	71.1	43.2	44.6	64.8	41.8	43.1	50.8	56.9	77.3	56.9	50.8	31.8	31.8	49.4	43.2	49.3	64.8	50.8	77.3	64.9	41.8	77.3	77.3	49.3	80.0	41.4	64.9	29.4	64.5	49.4	58.3	69.8	57.4	44.6	69.8	76.0	58.3	69.8	64.8	77.3	56.9	76.0	57.3	33.9	64.9	56.9	30.0	83.5	41.8	64.9	63.6	37.0	52.1	22.5	41.8	29.4	39.3	64.8	50.7	56.9	41.8	72.5	37.0	80.0	37.0	50.7	41.9	80.0	29.4	64.9	72.5	41.8	41.8	44.5	58.3	58.3	31.8	50.7	69.8	64.5	35.6	72.4	41.8	77.3	44.6	50.7	22.5	64.9	91.5	80.0	41.8	80.0	64.9	22.5	57.3	57.4	44.6	49.3	50.7	41.8	64.9	64.9	72.5	50.8	77.3	77.3	76.0	49.4	43.2	64.9	64.9	50.7	69.8	28.1	49.4	35.6	49.4	50.8	41.8	49.3	41.8	64.5	41.5	35.7	72.4	41.9	64.9	57.3	49.8	22.5	50.8	58.3	77.3	72.4	57.0	18.8	64.9	56.9	57.0	50.7	64.9	50.8	50.8	34.3	29.5	80.0	50.8	72.5	80.0	37.1	69.8	37.0	50.7	22.5	64.5	43.2	72.5	22.5	50.8	29.5	41.8	80.0	58.3	57.0	22.5	58.3	43.1	41.8	43.2	43.1	34.0	41.4	41.4	43.2	41.8	56.9	58.3	50.7	35.6	72.4	80.0	43.1	69.8	50.7	50.7	50.7	64.5	37.0	91.5	41.8	35.6	44.5	36.9	72.4	50.7	64.9	43.2	50.8	57.3	52.1	65.0	44.6	58.3	44.6	39.3	65.0	44.5	72.5	29.4	56.9	33.9	
64.9	65.5	48.1	49.4	43.2	27.0	52.7	-	63.5	39.6	58.9	41.6	36.5	36.3	60.6	48.1	20.8	44.8	74.4	60.6	58.9	79.0	83.9	78.3	41.6	43.2	19.0	47.8	72.1	52.7	54.0	54.3	57.3	52.7	47.8	68.8	42.5	46.5	30.3	57.3	33.6	37.0	58.9	37.0	57.3	41.6	58.9	30.3	58.9	41.6	50.0	50.0	44.8	81.0	52.7	52.7	38.6	30.3	83.9	43.2	41.8	41.8	52.7	52.7	39.6	64.9	37.0	52.7	64.9	51.1	66.8	64.9	66.8	47.8	62.2	68.8	66.8	52.7	57.3	69.8	62.2	62.2	61.5	83.9	47.4	36.5	48.1	68.4	49.4	43.2	60.6	51.1	46.0	43.2	57.6	59.5	52.7	63.5	74.4	22.4	43.2	60.6	52.7	60.6	79.0	64.9	52.7	56.0	49.4	43.2	68.4	68.4	46.5	35.6	51.1	38.5	69.8	51.3	48.1	73.0	74.4	68.4	30.3	66.8	52.0	46.0	83.9	62.2	52.7	43.2	52.7	83.9	19.0	16.2	64.9	39.8	54.3	27.3	11.6	41.4	49.4	37.0	78.3	68.8	57.3	43.2	63.8	72.1	49.4	64.9	35.6	59.3	38.6	56.9	44.8	60.3	39.8	57.6	21.1	62.2	52.7	49.1	26.1	47.4	64.9	83.9	43.2	49.4	46.0	47.8	68.8	68.8	47.4	62.2	30.1	49.4	74.4	43.2	79.0	64.9	78.3	47.8	22.4	41.6	46.5	47.8	43.2	52.7	41.6	47.8	41.6	51.1	46.0	52.7	88.5	62.2	46.0	47.8	37.0	38.6	52.7	51.1	10.0	46.0	57.3	21.1	22.4	65.5	48.1	36.3	25.0	52.0	88.5	44.8	69.8	51.1	52.0	54.0	74.4	52.7	57.3	78.3	63.5	62.6	48.0	48.1	37.0	62.2	57.6	38.6	46.5	51.1	31.9	63.5	49.4	60.3	41.6	49.4	57.3	37.0	20.8	57.3	41.6	38.8	43.2	51.1	62.2	66.8	69.8	61.5	
65.1	67.7	73.9	74.0	63.3	54.0	76.5	69.5	-	69.9	82.7	61.5	69.0	58.5	76.9	75.7	22.9	58.9	80.1	61.5	78.3	95.5	69.5	67.7	63.7	67.7	15.0	78.7	65.9	82.7	69.6	73.9	93.7	80.9	78.7	84.5	56.7	76.5	56.5	76.5	37.9	61.5	84.6	65.9	95.5	76.9	82.7	52.9	82.7	76.9	65.0	65.0	63.3	69.5	84.5	80.1	58.9	52.9	65.1	67.7	41.9	41.9	84.5	78.3	69.9	65.1	61.5	82.7	69.5	91.9	76.9	50.1	63.3	76.9	65.9	82.7	76.9	78.3	91.9	80.1	65.9	65.1	56.7	65.1	45.5	69.0	76.5	74.0	63.3	61.5	61.5	76.5	54.0	69.5	60.7	80.0	80.1	93.7	84.5	35.0	63.3	61.5	78.3	61.5	95.5	54.5	78.3	61.5	63.3	63.3	74.0	74.0	76.5	41.9	91.9	76.0	75.7	26.9	78.3	85.0	80.1	74.0	52.9	63.3	56.5	54.0	65.1	61.5	78.3	69.5	78.3	65.1	15.0	24.3	50.1	24.3	84.6	34.9	26.1	24.3	63.3	61.5	67.7	80.9	91.9	65.9	63.3	65.9	63.3	65.1	41.9	65.9	45.7	30.5	65.2	65.1	39.7	65.1	41.1	69.5	82.7	54.9	11.9	41.1	54.5	65.1	65.1	54.6	54.0	78.7	82.7	80.9	41.1	67.7	39.9	63.3	84.5	67.7	95.5	65.1	67.7	78.7	20.0	46.5	76.5	78.7	63.3	78.3	46.5	76.9	61.5	91.9	54.0	82.7	80.5	63.3	54.0	78.7	46.5	65.1	78.3	91.9	26.9	54.0	93.7	36.7	35.0	67.7	75.7	41.7	32.7	71.7	80.5	69.6	80.1	91.9	56.5	85.0	80.1	78.3	95.5	65.9	93.7	80.9	43.7	78.3	61.5	61.5	65.1	60.7	76.5	76.5	39.3	45.5	63.3	60.7	76.9	69.6	78.3	46.5	24.3	93.7	61.5	71.2	48.3	76.5	63.3	63.3	80.1	56.7	
50.0	50.0	64.0	50.0	50.0	54.4	66.4	50.0	64.0	-	64.0	52.4	68.4	55.6	52.4	64.0	6.4	50.0	64.0	54.8	64.0	64.0	50.0	50.0	36.0	50.0	22.4	50.0	60.8	64.0	50.0	64.0	64.0	66.4	50.0	64.0	55.6	68.8	32.0	66.4	28.8	52.4	64.0	54.8	64.0	52.4	64.0	34.4	64.0	52.4	48.8	48.8	50.0	50.0	64.0	64.0	50.0	34.4	50.0	50.0	34.4	34.4	64.0	64.0	80.4	50.0	54.8	64.0	50.0	66.4	52.4	36.0	50.0	52.4	52.4	64.0	52.4	64.0	66.4	64.0	52.4	50.0	55.6	50.0	32.0	68.4	66.4	50.0	50.0	52.4	54.8	66.4	54.4	50.0	50.0	62.8	64.0	64.0	64.0	18.0	50.0	60.8	64.0	54.8	64.0	36.0	64.0	54.8	50.0	50.0	50.0	50.0	68.8	34.4	66.4	48.8	64.0	20.4	64.0	50.0	64.0	50.0	34.4	50.0	32.0	54.4	50.0	52.4	64.0	50.0	64.0	50.0	22.4	18.0	36.0	18.0	64.0	32.0	18.0	18.0	50.0	52.4	50.0	66.4	66.4	52.4	50.0	54.8	50.0	50.0	36.8	52.4	36.0	18.0	50.0	50.0	18.0	50.0	32.0	50.0	64.0	58.0	8.8	32.0	36.0	50.0	50.0	36.0	54.4	50.0	64.0	66.4	32.0	50.0	46.4	50.0	64.0	50.0	64.0	50.0	50.0	50.0	4.0	46.8	66.4	50.0	50.0	64.0	38.4	52.4	60.8	74.8	54.4	64.0	50.0	50.0	54.4	50.0	46.8	50.0	64.0	66.4	20.4	54.4	64.0	32.0	18.0	50.0	64.0	41.6	37.6	69.6	50.0	50.0	64.0	66.4	32.0	50.0	64.0	64.0	64.0	52.4	64.0	68.8	32.0	64.0	54.8	52.4	50.0	50.0	68.8	68.8	32.0	32.0	50.0	50.0	52.4	50.0	64.0	38.4	18.0	64.0	52.4	62.8	36.0	68.8	50.0	50.0	64.0	55.6	
